atomic_mass;code;name;density;abundance (mg/kg);price (USD/kg);price_year;price_source;price_comment;Crm_2023;Crm_2020;Crm_2017;Crm_2014;Crm_2011
61;147Pm;Promethium-147;7.26;;460000;2003;Radiochemistry Society[53];From Periodic Table of the Elements published on website of Radiochemistry Society. There is no further information as to source or specifics of this price.;;;;;
62;Sm;Samarium;7.52;7.05 (1.95285×1017 kg);13.9;2019;Preismonitor[20][g];Min. 99% pure, Free on Board China.;;;;;
63;Eu;Europium;5.243;2 (5.54×1016 kg);31.4;2020;ISE 2020[34][h];Min. 99.999% pure.;;;;;
64;Gd;Gadolinium;7.895;6.2 (1.7174×1017 kg);28.6;2020;ISE 2020[34][h];Min. 99.5% pure.;;;;;
65;Tb;Terbium;8.229;1.2 (3.324×1016 kg);658;2019;Preismonitor[20][g];Min. 99% pure, Free on Board China.;;;;;
66;Dy;Dysprosium;8.55;5.2 (1.4404×1017 kg);307;2019;Preismonitor[20][g];Min. 99% pure, Free on Board China.;;;;;
67;Ho;Holmium;8.795;1.3 (3.601×1016 kg);57.1;2020;ISE 2020[34][h];Min. 99.5% pure.;;;;;
68;Er;Erbium;9.066;3.5 (9.695×1016 kg);26.4;2020;ISE 2020[34][h];Min. 99.5% pure.;;;;;
69;Tm;Thulium;9.321;0.52 (1.4404×1016 kg);3000;2003;IMAR[54][l];Price quotes from Canadian producer, for 1 kg order. 99.5–99.99% purity, Free on Board Vancouver, Canada.;;;;;
70;Yb;Ytterbium;6.965;3.2 (8.864×1016 kg);17.1;2020;ISE 2020[34][h];Min. 99.99% pure.;;;;;
71;Lu;Lutetium;9.84;0.8 (2.216×1016 kg);643;2020;ISE 2020[34][h];Min. 99.99% pure.;;;;;
72;Hf;Hafnium;13.31;3 (8.31×1016 kg);900;2017;USGS MCS[14];Unwrought hafnium.;;;;;
73;Ta;Tantalum;16.654;2 (5.54×1016 kg);298–312;2019;ISE 2019[41];Min. 99.95% pure. Ex Works China.;;;;;
74;W;Tungsten;19.25;1.3 (3.601×1016 kg);35.3;2019;Preismonitor[20][g];Powder, particle size 2–10 µm, 99.7% pure. Free on Board China.;;;;;
75;Re;Rhenium;21.02;7×10−4 (1.939×1013 kg);3010–4150;2020;SMM[55][d];99.99% pure.;;;;;
76;Os;Osmium;22.61;0.002 (5.54×1013 kg);12000;2016;Fastmarkets[m];;;;;;
77;Ir;Iridium;22.56;0.001 (2.77×1013 kg);55500 – 56200;2020;SMM[58][d];99.95% pure.;;;;;
78;Pt;Platinum;21.46;0.005 (1.385×1014 kg);27800;2019;Preismonitor[20][g];99.95% pure. London bullion market morning fix. In warehouse.;;;;;
79;Au;Gold;19.282;0.004 (1.108×1014 kg);44800;2019;Preismonitor[20][g];99.9% pure. Morning London gold fix.;;;;;
80;Hg;Mercury;13.5336;0.085 (2.3545×1015 kg);30.2;2017;USGS MCS[14];Average European Union price of 99.99% pure mercury.;;;;;
81;Tl;Thallium;11.85;0.85 (2.3545×1016 kg);4200;2017;USGS MCS[14];;;;;;
82;Pb;Lead;11.342;14 (3.878×1017 kg);2;2019;Preismonitor[20][g];Min. 99.97% pure. Spot price. At London Metal Exchange warehouse.;;;;;
83;Bi;Bismuth;9.807;0.009 (2.493×1014 kg);6.36;2019;Preismonitor[20][g];Refined bismuth, min. 99.99% pure.;;;;;
84;209Po;Polonium-209;9.32;;49.2×1012;2004[j];CRC Handbook (ORNL)[n];;;;;;
85;At;Astatine;7;3×10−20[i] (8.31×10−4 kg);Not traded.;;;Only under a tenth of microgram of astatine has ever been produced.[44] Most stable isotope has half-life of 8.1 hours.;;;;;
86;Rn;Radon;0.00973;4×10−13[i] (1.108×104 kg);Not traded.;;;Used in brachytherapy until 1960s,[59] currently radon is not used commercially.[60];;;;;
87;Fr;Francium;1.87;~ 1×10−18[i] (2.77×10−2 kg);Not traded.;;;Only quantities of the order of millions of atoms have been obtained for research.[61] Most stable isotope, 223Fr, has half-life of 22 minutes. Francium has no commercial or medical uses.[60];;;;;
88;Ra;Radium;5.5;9×10−7[i] (2.493×1010 kg);Negative price.;;;Radium was historically used in the treatment of cancer, but stopped being used when more effective treatments were introduced. As medical facilities had to pay for its disposal, its price can be considered negative.[62];;;;;
89;225Ac;Actinium-225;10.07;;29×1012;2004[j];CRC Handbook (ORNL)[n];;;;;;
90;Th;Thorium;11.72;9.6 (2.6592×1017 kg);287;2010;USGS MYB 2012[63];As 99.9% pure thorium oxide, price per thorium contained. Free on Board port of entry, duty paid.;;;;;
91;Pa;Protactinium;15.37;1.4×10−6[i] (3.878×1010 kg);No reliable price available.;;;In 1959–1961 Great Britain Atomic Energy Authority produced 125 g of 99.9% pure protactinium at a cost of $500000, giving the cost of 4000000 USD per kg.[44] Periodic Table of Elements at Los Alamos National Laboratory website at one point listed protactinium-231 as available from Oak Ridge National Laboratory at a price of 280000 USD/kg.[64];;;;;
92;U;Uranium;18.95;2.7 (7.479×1016 kg);101;2018;EIA Uranium Marketing[65];Mainly as triuranium octoxide, price per uranium contained.;;;;;
93;Np;Neptunium;20.45;≤ 3×10−12[i] (8.31×104 kg);660000;2003[j];Pomona[66];Periodic Table published by Pomona College Chemistry Department lists neptunium-237 as available from Oak Ridge National Laboratory at 660 USD/g plus packing costs.;;;;;
