name,reference product,ISIC_name,ISIC,CPC_name,CPC,prod_category,prod_sub_category,code,activity type,location,production amount,unit,priority
"market for epoxy resin, liquid","epoxy resin, liquid",Manufacture of basic chemicals,2011," Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl es[…]",34740,PlastRub,Plastics & rubber products,78e4f1e00d37d151b066edb011773c6b,market activity,RER,1.0,kilogram,1.0
"market for biomethane, high pressure, vehicle grade","biomethane, high pressure, vehicle grade",Manufacture of gas; distribution of gaseous fuels through mains,3520," Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons",17200,OreMinFuel,"Ores, minerals & fuels",b1a467b948e03da513730fedd0f6ce8b,market activity,CH,1.0,kilogram,1.0
"grass seed production, Swiss integrated production, for sowing","grass seed, Swiss integrated production, for sowing",Seed processing for propagation,0164, Beet seeds (excluding sugar beet seeds) and seeds of forage plants,1940,AgriForeAnim,Agricultural and forestry products,ad2cf7736edd806695b0deb925584bd8,ordinary transforming activity,CH,1.0,kilogram,1.0
basic oxygen furnace secondary metallurgy slag to market for basic oxygen furnace secondary metallurgy slag for recovery,basic oxygen furnace secondary metallurgy slag,Treatment and disposal of non-hazardous waste,3821," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,e6b6200cf650cfe9382160e4ffb24dc3,ordinary transforming activity,RER,-1.0,kilogram,1.0
"treatment of waste concrete gravel, collection for final disposal",waste concrete gravel,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,68393257172821af6cd2eba743c6622e,ordinary transforming activity,CH,-1.0,kilogram,1.0
"biomethane, low pressure burned in polymer electrolyte membrane fuel cell 2kWe, future","electricity, low voltage","Electricity, gas, steam and air conditioning supply",35, Electrical energy,17100,OreMinFuel,"Ores, minerals & fuels",cccfb45759fe37db6659f230e83f6451,ordinary transforming activity,CH,1.0,kilowatt hour,1.0
"electricity production, wind, <1MW turbine, onshore, renewable energy products","electricity, high voltage, renewable energy products","Electric power generation, transmission and distribution",3510, Electrical energy,17100,OreMinFuel,"Ores, minerals & fuels",7e19e0b1d74541a30a614425c10a6a71,ordinary transforming activity,CH,1.0,kilowatt hour,1.0
"blower and heat exchange unit production, KWLC 1200","blower and heat exchange unit, KWLC 1200",Manufacture of other general-purpose machinery,2819, Producer gas or water gas generators; acetylene gas generators and similar water process gas generators; disti[…],43911,MachElecTrans,Metal/electronic equipments and parts,3fdce8f28c476793dc2992f2e2869bab,ordinary transforming activity,RER,1.0,unit,1.0
"electricity, high voltage, import from ES","electricity, high voltage","Electric power generation, transmission and distribution",3510, Electrical energy,17100,OreMinFuel,"Ores, minerals & fuels",2a94bc210f47cd3172ae8d17aa8589a7,ordinary transforming activity,PT,1.0,kilowatt hour,1.0
manganese production,manganese,Manufacture of basic precious and other non-ferrous metals,2420," Bismuth, antimony, manganese, chromium and articles thereof; including waste and scrap of bismuth or manganese",41603,MetalAlloy,"Basic metals & alloys, their semi-finished products",b403e94a83d6133711cb3a49f3b02969,ordinary transforming activity,RER,1.0,kilogram,1.0
"treatment of waste mineral plaster, collection for final disposal",waste mineral plaster,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,8a91f67cdbb92c61220ed0f3d2d3d222,ordinary transforming activity,CH,-1.0,kilogram,1.0
"heat and power co-generation unit construction, 200kW electrical, diesel SCR, components for electricity only","heat and power co-generation unit, 200kW electrical, diesel SCR, components for electricity only",Construction of utility projects,4220," Electric motors, generators and transformers, and parts thereof",46100,MachElecTrans,Metal/electronic equipments and parts,847b0d1d50418a7fe963ccfbf29679b7,ordinary transforming activity,RER,1.0,unit,1.0
market for bilge oil,bilge oil,Treatment and disposal of hazardous waste,3822, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,16010808918d6d265fbc136d94e793e6,market activity,Europe without Switzerland,-1.0,kilogram,1.0
"chromium steel drilling, conventional","chromium steel removed by drilling, conventional",Treatment and coating of metals; machining,2592," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,ca0fa533b3b82eb63aa3d251ce6ae8a3,ordinary transforming activity,RER,1.0,kilogram,1.0
"polyester resin production, unsaturated","polyester resin, unsaturated",Manufacture of plastics and synthetic rubber in primary forms,2013," Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl es[…]",34740,PlastRub,Plastics & rubber products,7bb5b3918d3c7382da01bb3da34b8f6b,ordinary transforming activity,RER,1.0,kilogram,1.0
market for waste glass,waste glass,Treatment and disposal of non-hazardous waste,3821," Glass in the mass, in balls (except microspheres), rods or tubes, unworked; waste and scrap of glass",37111,GlasNonMetal,Glass and other non-metallic products,ff2cbac798487dc5c0f3045a12448ebc,market activity,SE,-1.0,kilogram,1.0
"market for sewage sludge, 70% water, WWT[U], WW from lorry production","sewage sludge, 70% water, WWT[U], WW from lorry production",Treatment and disposal of non-hazardous waste,3821, Sewage sludge,39920,WasteTreatment,Waste treatment & disposal,f272159701d4c34959ac3bf65b6eb5fe,market activity,CH,-1.0,kilogram,1.0
"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",Support activities for crop production,0161," Mineral or chemical fertilizers, phosphatic",34620,Chemical,Chemical products,ad0397a58f11b19653707c66a5de5156,market activity,SE,1.0,kilogram,1.0
"hardwood forestry, mixed species, sustainable forest management","wood chips, wet, measured as dry mass",Logging,0220, Wood in chips or particles,31230,ProcBio,"Wood, straw & cork",9f6e7a6374af92780921245689d0f1a4,ordinary transforming activity,CH,1.0,kilogram,1.0
"land use change, annual crop","land use change, annual crop",Support activities for crop production,0161, Financial and related services; real estate services; and rental and leasing services,70000,,,e4a1d5bc314a7fd2c2cf56d86738a658,ordinary transforming activity,CH,1.0,hectare,1.0
market for anionic resin,anionic resin,Manufacture of plastics and synthetic rubber in primary forms,2013, Other plastics in primary forms; ion exchangers,34790,PlastRub,Plastics & rubber products,26f79441bfa125a2f4c02e78f6336fe5,market activity,RER,1.0,kilogram,1.0
"treatment of waste cement in concrete and mortar, sorting plant",waste cement in concrete and mortar,Materials recovery,3830, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,7c7037234bd26f5146a205259e85682b,ordinary transforming activity,CH,-1.0,kilogram,1.0
"electricity production, wind, <1MW turbine, onshore","electricity, high voltage","Electric power generation, transmission and distribution",3510, Electrical energy,17100,OreMinFuel,"Ores, minerals & fuels",5c2290aa7a3ad11f4cdc810f7fd1e6d7,ordinary transforming activity,SK,1.0,kilowatt hour,1.0
"heat pump production, brine-water, 10kW","heat pump, brine-water, 10kW","Manufacture of ovens, furnaces and furnace burners",2815," Refrigerating and freezing equipment and heat pumps, except household type equipment",43913,MachElecTrans,Metal/electronic equipments and parts,2701a70b39d8cb863b6c0fd2f78236ac,ordinary transforming activity,CH,1.0,unit,1.0
sanitary landfill facility construction,sanitary landfill facility,Construction of other civil engineering projects,4290, Other civil engineering works,53290,,,f080c634668a93d815dcef346296fed7,ordinary transforming activity,CH,1.0,unit,1.0
market for naphtha,naphtha,Manufacture of refined petroleum products,1920, Naphtha,33330,OreMinFuel,"Ores, minerals & fuels",054ff53b89fa3a1fd23fce0da38053cb,market activity,RER,1.0,kilogram,1.0
"degreasing, metal part in alkaline bath","degreasing, metal part in alkaline bath",Treatment and coating of metals; machining,2592, Metal treatment and coating services,88731,MetalAlloy,"Basic metals & alloys, their semi-finished products",048848715a793da8e2d45bfad7ef660b,ordinary transforming activity,RER,1.0,square meter,1.0
"carton board box production service, with gravure printing","carton board box production, with gravure printing",Manufacture of corrugated paper and paperboard and of containers of paper a,1702," Cartons, boxes, cases, record sleeves and other packing containers (except bags) of paper, paperboard, cellulo[…]",32153,ProcBio,Pulp & paper,8b82d9786193011bd204e5efdff94163,ordinary transforming activity,CH,1.0,kilogram,1.0
"heat production, hardwood chips from forest, at furnace 50kW, state-of-the-art 2014","heat, central or small-scale, other than natural gas",Steam and air conditioning supply,3530, Steam and hot water,17300,OreMinFuel,"Ores, minerals & fuels",6c23e11207e49080c8a95dc2eedfe90b,ordinary transforming activity,CH,1.0,megajoule,1.0
"electricity production, hydro, reservoir, alpine region","electricity, high voltage","Electric power generation, transmission and distribution",3510, Electrical energy,17100,OreMinFuel,"Ores, minerals & fuels",c7392882778605f2784abbf6ab2cfeb3,ordinary transforming activity,CH,1.0,kilowatt hour,1.0
"biomethane production, high pressure from synthetic gas, wood, fluidised technology","biomethane, high pressure",Manufacture of gas; distribution of gaseous fuels through mains,3520," Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons",17200,OreMinFuel,"Ores, minerals & fuels",e73bf23b02bd9d745b2c115675a819f4,ordinary transforming activity,CH,1.0,cubic meter,1.0
magnesium sulfate production,magnesium sulfate,Mining of other non-ferrous metal ores,0729, Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates),14290,OreMinFuel,"Ores, minerals & fuels",0173bc3128424008edd92ddb78c5c18e,ordinary transforming activity,RER,1.0,kilogram,1.0
"land already in use, annual cropland to annual crop","land tenure, arable land, measured as carbon net primary productivity, annual crop",Support activities for crop production,0161, Financial and related services; real estate services; and rental and leasing services,70000,,,3dab29ca2ab4621bbd53c19f3fb736e9,ordinary transforming activity,FR,1.0,kilogram,1.0
"board, hardwood, raw, kiln drying to u=20%","sawnwood, board, hardwood, raw, dried (u=20%)",Sawmilling and planing of wood,1610," Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of non-coniferous wood ",31102,ProcBio,"Wood, straw & cork",2331a8f8608a4c9039f3ea220df18b81,ordinary transforming activity,Europe without Switzerland,1.0,cubic meter,1.0
mancozeb production,mancozeb,Manufacture of pesticides and other agrochemical products,2021, Fungicides,34662,Chemical,Chemical products,0a208264943fc766861998cd9f0813c8,ordinary transforming activity,RER,1.0,kilogram,1.0
"market for bundle, energy wood, measured as dry mass","bundle, energy wood, measured as dry mass",Logging,0220, Wood in the rough,3100,AgriForeAnim,Agricultural and forestry products,e982884af604dbb9db18b167788ba385,market activity,SE,1.0,kilogram,1.0
"treatment of waste reinforced concrete, collection for final disposal",waste reinforced concrete,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,c1b5e9a5045f5fa0bda3c3826f2267b6,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of refinery sludge, landfarming",refinery sludge,Treatment and disposal of non-hazardous waste,3821, Sewage sludge,39920,WasteTreatment,Waste treatment & disposal,98c8b88a7687f5a716b5d47bd0789f66,ordinary transforming activity,Europe without Switzerland,-1.0,kilogram,1.0
"natural gas, high pressure, import from RU","natural gas, high pressure",Manufacture of gas; distribution of gaseous fuels through mains,3520," Natural gas, liquefied or in the gaseous state",12020,OreMinFuel,"Ores, minerals & fuels",202b0e27ed5198affa62ddc2ef0b9862,ordinary transforming activity,IT,1.0,cubic meter,1.0
"barley grain, feed production, Swiss integrated production","barley grain, feed, Swiss integrated production",Manufacture of prepared animal feeds,1080, Preparations used in animal feeding n.e.c.,23319,ProcBio,"Food & beverages, animal feed",112064d7219fb8b7c7b5868a9406fc7c,ordinary transforming activity,CH,1.0,kilogram,1.0
"market for land use change, annual crop","land use change, annual crop",Support activities for crop production,0161, Financial and related services; real estate services; and rental and leasing services,70000,,,0d3216c8160ce587adf26e939de04c84,market activity,IT,1.0,hectare,1.0
"cement production, CEM II/B","cement, CEM II/B","Manufacture of cement, lime and plaster",2394," Plaster, lime and cement",37400,GlasNonMetal,Glass and other non-metallic products,096b171b1d170bfc7c2096705df6c759,ordinary transforming activity,CH,1.0,kilogram,1.0
"building construction, hall, steel construction","building, hall, steel construction",Construction of buildings,4100, Buildings,53100,,,0f87394c3415865f7371173e688ca15c,ordinary transforming activity,CH,1.0,square meter,1.0
"market for maintenance, lorry 16 metric ton","maintenance, lorry 16 metric ton",Maintenance and repair of motor vehicles,4520, Maintenance and repair services of motor vehicles,87141,,,bee98cc0107472eba1e6df18441799aa,market activity,RER,1.0,unit,1.0
"mini CHP plant production, components for electricity only","mini CHP plant, components for electricity only","Manufacture of electric motors, generators, transformers and electricity di",2710," Electric motors, generators and transformers, and parts thereof",46100,MachElecTrans,Metal/electronic equipments and parts,365e45edbbdbb9d027121e1cb81b8d7e,ordinary transforming activity,CH,1.0,unit,1.0
hydrogen sulfide production,hydrogen sulfide,Manufacture of basic chemicals,2011," Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]",34231,Chemical,Chemical products,647d581e3d02a48bc63cba1bb561dc4e,ordinary transforming activity,RER,1.0,kilogram,1.0
perlite quarry operation,perlite,"Quarrying of stone, sand and clay",0810, Other minerals n.e.c.,16390,OreMinFuel,"Ores, minerals & fuels",bef6ee1b0dc5ca52110c5aad5811cd60,ordinary transforming activity,DE,1.0,kilogram,1.0
"natural gas, high pressure, import from RO","natural gas, high pressure",Manufacture of gas; distribution of gaseous fuels through mains,3520," Natural gas, liquefied or in the gaseous state",12020,OreMinFuel,"Ores, minerals & fuels",dd148a76c295bda8223344520b1a585d,ordinary transforming activity,Europe without Switzerland,1.0,cubic meter,1.0
"market for waste plastic, industrial electronics","waste plastic, industrial electronics",Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,493db9905d2ab237a5152504b6c94eef,market activity,CH,-1.0,kilogram,1.0
"market for waste cement, hydrated","waste cement, hydrated",Treatment and disposal of hazardous waste,3822, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,acc6a75784236f0c1c81fe2dd3eeb902,market activity,Europe without Switzerland,-1.0,kilogram,1.0
liquid packaging board production,liquid packaging board,Manufacture of corrugated paper and paperboard and of containers of paper a,1702," Cartons, boxes, cases, record sleeves and other packing containers (except bags) of paper, paperboard, cellulo[…]",32153,ProcBio,Pulp & paper,3b3d2f250fe55c424ed86ec2679de368,ordinary transforming activity,RER,1.0,kilogram,1.0
"electricity production, wind, 1-3MW turbine, offshore","electricity, high voltage","Electric power generation, transmission and distribution",3510, Electrical energy,17100,OreMinFuel,"Ores, minerals & fuels",d8602b587b6bfc3fcf5579090a18f7ce,ordinary transforming activity,DE,1.0,kilowatt hour,1.0
"planing, beam, hardwood, u=10%","sawnwood, beam, hardwood, dried (u=10%), planed",Sawmilling and planing of wood,1610," Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of non-coniferous wood ",31102,ProcBio,"Wood, straw & cork",805a7470e339dd714f5389f4619594d7,ordinary transforming activity,Europe without Switzerland,1.0,cubic meter,1.0
"catch crop growing, ryegrass, September-April, organic fertiliser 40 kg N, one cut",ryegrass silage,Support activities for crop production,0161," Forage products, n.e.c.",1919,AgriForeAnim,Agricultural and forestry products,438141c741940e27570243cb0804a621,ordinary transforming activity,CH,1.0,kilogram,1.0
market for waste polyvinylchloride,waste polyvinylchloride,Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,37788996a5e3de798bdb29ce5844141e,market activity,NL,-1.0,kilogram,1.0
"sawnwood production, softwood, dried (u=20%), planed","sawnwood, softwood, dried (u=20%), planed",Sawmilling and planing of wood,1610," Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of coniferous wood ",31101,ProcBio,"Wood, straw & cork",6966e12851fa09535f24e8a00ed52a17,ordinary transforming activity,Europe without Switzerland,1.0,cubic meter,1.0
methyl formate production,methyl formate,Manufacture of basic chemicals,2011," Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and their halogenated, sulphonated, […]",34140,Chemical,Chemical products,bc9bd09f09d2787809edfa5a879ec8b8,ordinary transforming activity,RER,1.0,kilogram,1.0
market for glued solid timber,glued solid timber,Manufacture of veneer sheets and wood-based panels,1621," Plywood consisting solely of sheets, of coniferous wood",31411,ProcBio,"Wood, straw & cork",ff89b6d07e2b3d0545ecba2fc3cbd666,market activity,RER,1.0,cubic meter,1.0
"market for glass wool mat, uncoated, Saint-Gobain ISOVER SA","glass wool mat, uncoated, Saint-Gobain ISOVER SA",Manufacture of other non-metallic mineral products n.e.c.,2399," Voiles, webs, mats, mattresses, boards and other articles of glass fibres, except woven fabrics",37129,GlasNonMetal,Glass and other non-metallic products,ba3aac675d89e765963721ee96e492b8,market activity,CH,1.0,kilogram,1.0
"electricity, high voltage, import from DE","electricity, high voltage","Electric power generation, transmission and distribution",3510, Electrical energy,17100,OreMinFuel,"Ores, minerals & fuels",6df72fdac34a6edc11ce17fa7f066c6f,ordinary transforming activity,SE,1.0,kilowatt hour,1.0
"magnesium-alloy production, AZ91, diecasting","magnesium-alloy, AZ91, diecast",Manufacture of basic precious and other non-ferrous metals,2420," Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […]",41601,MetalAlloy,"Basic metals & alloys, their semi-finished products",25998b73eadfe69ced30119a17caf9c9,ordinary transforming activity,RER,1.0,kilogram,1.0
"N,N-dimethylformamide production","N,N-dimethylformamide",Manufacture of basic chemicals,2011, Basic organic chemicals,34100,Chemical,Chemical products,3a9e42635072dfaccf609af6fea35e02,ordinary transforming activity,RER,1.0,kilogram,1.0
"treatment of waste building wood, chrome preserved, municipal incineration with fly ash extraction","waste building wood, chrome preserved",Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,aac519263ed4faa7d12378b50aff9459,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of sewage sludge, 97% water, WWT, WW from concrete production, landfarming","sewage sludge, 97% water, WWT, WW from concrete production",Treatment and disposal of non-hazardous waste,3821, Sewage sludge,39920,WasteTreatment,Waste treatment & disposal,c06c750858a6449a955b05277bb02b84,ordinary transforming activity,CH,-1.0,kilogram,1.0
metolachlor production,metolachlor,Manufacture of pesticides and other agrochemical products,2021," Herbicides, anti-sprouting products and plant-growth regulators",34663,Chemical,Chemical products,1827d6552d9e8b98efadc36599c02c51,ordinary transforming activity,RER,1.0,kilogram,1.0
polystyrene foam slab for perimeter insulation,polystyrene foam slab for perimeter insulation,Manufacture of plastics products,2220, Semi-manufactures of plastics,36300,PlastRub,Plastics & rubber products,ebf3ab8c6f6015ff8b7101f88ac277ad,ordinary transforming activity,CH,1.0,kilogram,1.0
"market for sawlog and veneer log, meranti, debarked, measured as solid wood","sawlog and veneer log, meranti, debarked, measured as solid wood",Logging,0220, Wood in the rough,3100,AgriForeAnim,Agricultural and forestry products,ccdcf5ae48c2a0857de2a91f6872dc16,market activity,RER,1.0,cubic meter,1.0
"treatment of nickel smelter slag, residual material landfill",nickel smelter slag,Treatment and disposal of hazardous waste,3822, Waste and scrap of nickel,39362,WasteTreatment,Waste treatment & disposal,65109af35cadd25e059fad2bba0541ff,ordinary transforming activity,CH,-1.0,kilogram,1.0
"contouring, bronze","contouring, bronze",Treatment and coating of metals; machining,2592, Metal treatment and coating services,88731,MetalAlloy,"Basic metals & alloys, their semi-finished products",493250940fc6c01c20a68c0138eff20b,ordinary transforming activity,RER,1.0,kilogram,1.0
"deep well drilling, for deep geothermal power","deep well, drilled, for geothermal power",Support activities for other mining and quarrying,0990, Support services to other mining,86219,,,4146d99093b12310f2f38e7f01dc4cc3,ordinary transforming activity,IT,1.0,meter,1.0
"treatment of residues, MSWI-WWT, WW from pig iron production, residual material landfill","residues, MSWI-WWT, WW from pig iron production",Treatment and disposal of hazardous waste,3822," Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…]",39320,WasteTreatment,Waste treatment & disposal,5f83b8c1c19f54dbd5c8bb88ed2aca16,ordinary transforming activity,Europe without Switzerland,-1.0,kilogram,1.0
"hardwood forestry, birch, sustainable forest management","pulpwood, hardwood, measured as solid wood under bark",Logging,0220, Wood in the rough,3100,AgriForeAnim,Agricultural and forestry products,548fbde27bfb95c3d715ede7c152b6fc,ordinary transforming activity,SE,1.0,cubic meter,1.0
"heat production, biomethane, at boiler condensing modulating <100kW","heat, central or small-scale, biomethane",Steam and air conditioning supply,3530, Steam and hot water,17300,OreMinFuel,"Ores, minerals & fuels",34c214c1a2e95d68085303b18796b73b,ordinary transforming activity,Europe without Switzerland,1.0,megajoule,1.0
"photovoltaic slanted-roof installation, 3kWp, CdTe, laminated, integrated, on roof","photovoltaic slanted-roof installation, 3kWp, CdTe, laminated, integrated, on roof",Installation of industrial machinery and equipment,3320, Installation services of electrical machinery and apparatus n.e.c.,87360,,,85a124c3f8ad6ddffc356a0fd62c849e,ordinary transforming activity,CH,1.0,unit,1.0
"electricity production, natural gas, conventional power plant","electricity, high voltage","Electric power generation, transmission and distribution",3510, Electrical energy,17100,OreMinFuel,"Ores, minerals & fuels",3a5197e779d9d98eeb089e0b6bbfea0a,ordinary transforming activity,AT,1.0,kilowatt hour,1.0
"tetrafluoroethylene film production, on glass","tetrafluoroethylene film, on glass",Manufacture of plastics and synthetic rubber in primary forms,2013," Polymers of vinyl chloride or other halogenated olefins, in primary forms",34730,PlastRub,Plastics & rubber products,5e0ac5d554af2f0a3a0e8d36e27e744e,ordinary transforming activity,RER,1.0,kilogram,1.0
"treatment of used lorry, 40 metric ton","used lorry, 40 metric ton",Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,6b362671f4b46dd552d36cbd69dab162,ordinary transforming activity,CH,-1.0,unit,1.0
dolomite production,dolomite,Mining of chemical and fertilizer minerals,0891, Chalk and dolomite,16330,OreMinFuel,"Ores, minerals & fuels",598b678e3123d077198f7d82e6a18493,ordinary transforming activity,RER,1.0,kilogram,1.0
"transport, passenger car, EURO 4","transport, passenger car, EURO 4",Other passenger land transport,4922," Other land transportation services of passengers, n.e.c.",64119,OreMinFuel,"Ores, minerals & fuels",63be70bbaf9a1ac4ba1375467993fe1a,ordinary transforming activity,RER,1.0,kilometer,1.0
"electricity production, wind, >3MW turbine, onshore","electricity, high voltage","Electric power generation, transmission and distribution",3510, Electrical energy,17100,OreMinFuel,"Ores, minerals & fuels",6e5f30e55f4e87d619ce395b2c1e29cc,ordinary transforming activity,CZ,1.0,kilowatt hour,1.0
"glass wool mat production, with plant-based binder, uncoated, Saint-Gobain ISOVER SA","glass wool mat, uncoated, Saint-Gobain ISOVER SA",Manufacture of other non-metallic mineral products n.e.c.,2399," Voiles, webs, mats, mattresses, boards and other articles of glass fibres, except woven fabrics",37129,GlasNonMetal,Glass and other non-metallic products,55671065d615ff37fb3dc0be0e583a09,ordinary transforming activity,CH,1.0,kilogram,1.0
"heat production, light fuel oil, at industrial furnace 1MW","heat, district or industrial, other than natural gas",Steam and air conditioning supply,3530, Steam and hot water,17300,OreMinFuel,"Ores, minerals & fuels",e4fdf203a844f4e1fa2a54c2a216594c,ordinary transforming activity,CH,1.0,megajoule,1.0
"treatment of waste polystyrene isolation, flame-retardant, collection for final disposal","waste polystyrene isolation, flame-retardant",Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,fb3d84784000297fa19f954260fd14a6,ordinary transforming activity,Europe without Switzerland,-1.0,kilogram,1.0
"market for sewage sludge, 70% water, WWT, WW from pig iron production","sewage sludge, 70% water, WWT, WW from pig iron production",Treatment and disposal of non-hazardous waste,3821, Sewage sludge,39920,WasteTreatment,Waste treatment & disposal,b739500e5b0fbde4bb1f948418f99e28,market activity,Europe without Switzerland,-1.0,kilogram,1.0
"polystyrene production, general purpose","polystyrene, general purpose",Manufacture of plastics and synthetic rubber in primary forms,2013," Polymers of styrene, in primary forms",34720,PlastRub,Plastics & rubber products,afb74a4e00c3d4f69c6e8ada47fe3f26,ordinary transforming activity,RER,1.0,kilogram,1.0
"market for calcium carbonate, precipitated","calcium carbonate, precipitated",Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,Chemical,Chemical products,988139e2a99a349b9c3d7e6a8ad657ed,market activity,RER,1.0,kilogram,1.0
"market for laminated timber element, transversally prestressed, for outdoor use","laminated timber element, transversally prestressed, for outdoor use",Manufacture of veneer sheets and wood-based panels,1621," Other plywood, veneered panels and similar laminated wood, except of bamboo",31420,ProcBio,"Wood, straw & cork",e07cfb4862a5d2e9948b82fc6d8da6f8,market activity,RER,1.0,cubic meter,1.0
"heat production, wood chips from industry, at furnace 1000kW","heat, district or industrial, other than natural gas",Steam and air conditioning supply,3530, Steam and hot water,17300,OreMinFuel,"Ores, minerals & fuels",9196558ed6bf4b2ad165aca1fa8aee9d,ordinary transforming activity,CH,1.0,megajoule,1.0
"operation, solar collector system, Cu flat plate collector, one-family house, for hot water","heat, central or small-scale, other than natural gas",Steam and air conditioning supply,3530, Steam and hot water,17300,OreMinFuel,"Ores, minerals & fuels",ba8cb7813ae2daf1c5576e0fca20fd72,ordinary transforming activity,CH,1.0,megajoule,1.0
"treatment of used outside air intake, stainless steel, DN 370","used outside air intake stainless steel, DN 370",Materials recovery,3830," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,f3e363006832747289922717ab1b7d5c,ordinary transforming activity,CH,-1.0,unit,1.0
gypsum quarry operation,"gypsum, mineral","Quarrying of stone, sand and clay",0810," Gypsum; anhydrite; limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of[…]",15200,OreMinFuel,"Ores, minerals & fuels",d78623dfeb92003f32d5c3849fc3e793,ordinary transforming activity,CH,1.0,kilogram,1.0
market for waste paperboard,waste paperboard,Treatment and disposal of non-hazardous waste,3821, Waste and scrap of paper or paperboard,39240,WasteTreatment,Waste treatment & disposal,7ebce44ba02c8d34639ab1efd4488ff7,market activity,SK,-1.0,kilogram,1.0
"market for sawnwood, lath, softwood, raw, dried (u=20%)","sawnwood, lath, softwood, raw, dried (u=20%)",Sawmilling and planing of wood,1610," Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of coniferous wood ",31101,ProcBio,"Wood, straw & cork",178dd957e18ad0017a509407c7103e78,market activity,Europe without Switzerland,1.0,cubic meter,1.0
"natural gas, high pressure, import from LY","natural gas, high pressure",Manufacture of gas; distribution of gaseous fuels through mains,3520," Natural gas, liquefied or in the gaseous state",12020,OreMinFuel,"Ores, minerals & fuels",22b43b3f25e4189d816fe19db932dadc,ordinary transforming activity,IT,1.0,cubic meter,1.0
"heat production, anthracite, at stove 5-15kW","heat, central or small-scale, other than natural gas",Steam and air conditioning supply,3530, Steam and hot water,17300,OreMinFuel,"Ores, minerals & fuels",6e273f448db78d2d9fd6901bc8eb7967,ordinary transforming activity,Europe without Switzerland,1.0,megajoule,1.0
market for cement mortar,cement mortar,"Manufacture of cement, lime and plaster",2394, Glass and glass products and other non-metallic products n.e.c.,37000,GlasNonMetal,Glass and other non-metallic products,33f70cb430f412d76e30f0342437660a,market activity,CH,1.0,kilogram,1.0
"transport, passenger train, high-speed","transport, passenger train","Passenger rail transport, interurban",4911, Passenger transport services,64000,OreMinFuel,"Ores, minerals & fuels",b17d579dcdb6684293b1b95b85a93250,ordinary transforming activity,IT,1.0,person kilometer,1.0
magnesium factory construction,magnesium factory,Construction of buildings,4100, Other constructions for manufacturing,53269,,,4ec2f6dde84496eef61344abdf73ce44,ordinary transforming activity,RER,1.0,unit,1.0
"treatment of wood ash mixture, pure, municipal incineration","wood ash mixture, pure",Treatment and disposal of non-hazardous waste,3821, Sawdust and wood waste and scrap,39280,WasteTreatment,Waste treatment & disposal,6f9ddf2fe3b5122c88fe621207dbf6ae,ordinary transforming activity,CH,-1.0,kilogram,1.0
