name,reference product,ISIC_name,ISIC,CPC_name,CPC,prod_category,prod_sub_category,code,activity type,location,production amount,unit,priority
"market for residues, MSWI-WWT, heat carrier liquid, 40% C3H8O2","residues, MSWI-WWT, heat carrier liquid, 40% C3H8O2",Treatment and disposal of non-hazardous waste,3821," Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…]",39320,WasteTreatment,Waste treatment & disposal,97eb12bd7c371950a7a54d0d5b1b8def,market activity,GLO,-1.0,kilogram,0.0
"powertrain production, for electric passenger car","powertrain, for electric passenger car","Manufacture of electric motors, generators, transformers and electricity di",2710," Parts for the goods of subclasses 46910, 46921 and 46929; electrical parts n.e.c. of machinery or apparatus",46960,MachElecTrans,Metal/electronic equipments and parts,8549af81fac166a02a9db4b872d4aea9,ordinary transforming activity,GLO,1.0,kilogram,0.0
"market for extrusion, plastic pipes","extrusion, plastic pipes",Manufacture of plastics products,2220," Moulding, pressing, stamping, extruding and similar plastic manufacturing services",89200,MetalAlloy,"Basic metals & alloys, their semi-finished products",99e5cb9423c0b585f61ca3c6fb4991d8,market activity,GLO,1.0,kilogram,0.0
market for foaming agent,foaming agent,"Manufacture of soap and detergents, cleaning and polishing preparations, pe",2023," Soap, cleaning preparations, perfumes and toilet preparations",35300,Chemical,Chemical products,5c72eb4f3d6030a45ac36c6e27562f24,market activity,GLO,1.0,kilogram,0.0
"treatment of bottom ash, MSWI-WWT, WW from LCD backlight production, slag compartment","bottom ash, MSWI-WWT, WW from LCD backlight production",Treatment and disposal of non-hazardous waste,3821," Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…]",39320,WasteTreatment,Waste treatment & disposal,c90a6f79f1514cfc808a58981cf3dd1b,ordinary transforming activity,GLO,-1.0,kilogram,0.0
"market for laser machining, metal, with CO2-laser, 2700W power","laser machining, metal, with CO2-laser, 2700W power",Treatment and coating of metals; machining,2592, Metal treatment and coating services,88731,MetalAlloy,"Basic metals & alloys, their semi-finished products",4d25135895fda32ad2e0f20ceeeacfdc,market activity,GLO,1.0,hour,0.0
market for vinyl fluoride,vinyl fluoride,Manufacture of basic chemicals,2011, Basic organic chemicals,34100,Chemical,Chemical products,8ee4f96dc95af219754e64afbae9a012,market activity,GLO,1.0,kilogram,0.0
market for clefting of energy wood,clefting of energy wood,Logging,0220, Support and operation services to forestry and logging,86140,,,7bcceb0eafa7da6d1f5e420d0d6cadf3,market activity,GLO,1.0,hour,0.0
"market for bottom ash, MSWI-WWT[U], WW from lorry production","bottom ash, MSWI-WWT[U], WW from lorry production",Treatment and disposal of non-hazardous waste,3821," Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…]",39320,WasteTreatment,Waste treatment & disposal,5d9da4817eae6fa5b3700dfa23ca9026,market activity,GLO,-1.0,kilogram,0.0
"hard disk drive production, for laptop computer","hard disk drive, for laptop computer",Manufacture of computers and peripheral equipment,2620, Fixed media storage units,45271,MachElecTrans,Metal/electronic equipments and parts,ce4ff4b27b43a7388882687e39811bd1,ordinary transforming activity,GLO,1.0,unit,0.0
"silicon production, metallurgical grade","silicon, metallurgical grade",Manufacture of basic precious and other non-ferrous metals,2420, Basic inorganic chemicals n.e.c.,34200,Chemical,Chemical products,6859ea111247e4e980428a33d547064a,ordinary transforming activity,RoW,1.0,kilogram,0.0
"treatment of sewage sludge, 75% water, WWT, WW from GGBFS production, sanitary landfill","sewage sludge, 75% water, WWT, WW from GGBFS production",Treatment and disposal of non-hazardous waste,3821, Sewage sludge,39920,WasteTreatment,Waste treatment & disposal,4975c49a4d229e92ed1b42ad6041657f,ordinary transforming activity,RoW,-1.0,kilogram,0.0
"market for shavings, hardwood, loose, measured as dry mass","shavings, hardwood, loose, measured as dry mass",Sawmilling and planing of wood,1610, Non-agglomerated wood waste and scrap,39283,WasteTreatment,Waste treatment & disposal,a9903c7084f7dd589d4256a070de1012,market activity,GLO,-1.0,kilogram,0.0
"transport, freight, sea, container ship with reefer, freezing","transport, freight, sea, container ship with reefer, freezing",Sea and coastal freight water transport,5012, Coastal and transoceanic water transport services of freight by refrigerator vessels,65211,OreMinFuel,"Ores, minerals & fuels",958f30955378385784cc908e190003d5,ordinary transforming activity,GLO,1.0,ton kilometer,0.0
"treatment of glass cullet, lead containing, from used cathode ray tube, 0% water, inert material landfill","glass cullet, lead containing, from used cathode ray tube",Treatment and disposal of non-hazardous waste,3821," Glass in the mass, in balls (except microspheres), rods or tubes, unworked; waste and scrap of glass",37111,GlasNonMetal,Glass and other non-metallic products,77c20de4f455f7ee10c364670f5059f8,ordinary transforming activity,GLO,-1.0,kilogram,0.0
"treatment of bottom ash, MSWI-WWT, WW from potato starch production, slag compartment","bottom ash, MSWI-WWT, WW from potato starch production",Treatment and disposal of non-hazardous waste,3821," Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…]",39320,WasteTreatment,Waste treatment & disposal,88fbbab11fdb8311125fbcd83860a913,ordinary transforming activity,GLO,-1.0,kilogram,0.0
"market for steel removed by milling, small parts","steel removed by milling, small parts",Treatment and coating of metals; machining,2592," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,15778bb6b89e001248368e4e80d69446,market activity,GLO,1.0,kilogram,0.0
market for coal gas,coal gas,Manufacture of coke oven products,1910," Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons",17200,OreMinFuel,"Ores, minerals & fuels",1d3b89d8959fb6ab5975900f61ed270e,market activity,GLO,-1.0,megajoule,0.0
"market for photovoltaic slanted-roof installation, 3kWp, CdTe, laminated, integrated, on roof","photovoltaic slanted-roof installation, 3kWp, CdTe, laminated, integrated, on roof",Installation of industrial machinery and equipment,3320, Installation services of electrical machinery and apparatus n.e.c.,87360,,,ed784d00cfb31c5a5b3fd14677509b67,market activity,GLO,1.0,unit,0.0
"market for sputtering target, sintered, indium tin oxide","sputtering target, sintered, indium tin oxide",Treatment and coating of metals; machining,2592, Metal treatment and coating services,88731,MetalAlloy,"Basic metals & alloys, their semi-finished products",46ef18f1ba948bf5e4f3a1adbbde2daa,market activity,GLO,1.0,kilogram,0.0
"market for toner, colour, powder","toner, colour, powder","Manufacture of paints, varnishes and similar coatings, printing ink and mas",2022, Printing ink,35130,Chemical,Chemical products,a120270250ce147feefe8df7735b480d,market activity,GLO,1.0,kilogram,0.0
"market for palm date, organic","palm date, organic",Growing of tropical and subtropical fruits,0122, Dates,1314,AgriForeAnim,Agricultural and forestry products,d056968ee68df84ac86ac41fa963a37e,market activity,GLO,1.0,kilogram,0.0
"cadmium chloride production, semiconductor-grade","cadmium chloride, semiconductor-grade",Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,34200,Chemical,Chemical products,1fc186be8faa5dc711aad6f5f36852a2,ordinary transforming activity,RoW,1.0,kilogram,0.0
"market for wax, lost-wax casting","wax, lost-wax casting",Manufacture of refined petroleum products,1920," Petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, […]",33500,OreMinFuel,"Ores, minerals & fuels",8ef5a578b4e2ec54b8332cfb99f1cfab,market activity,GLO,1.0,kilogram,0.0
"market for brass removed by drilling, conventional","brass removed by drilling, conventional",Treatment and coating of metals; machining,2592, Waste and scrap of other metals,39360,WasteTreatment,Waste treatment & disposal,3f328d78e31945d22245ee9dbe63b77d,market activity,GLO,1.0,kilogram,0.0
"market for fibre and fabric waste, polyester","fibre and fabric waste, polyester",Treatment and disposal of non-hazardous waste,3821, Waste of man-made fibres,39216,WasteTreatment,Waste treatment & disposal,5ce36cb81150b084b5c4f5d50a5ddf41,market activity,GLO,-1.0,kilogram,0.0
market for peat moss,peat moss,Extraction of peat,0892, Peat,11050,OreMinFuel,"Ores, minerals & fuels",25114c7e329873d412e7f0038d9b85c4,market activity,GLO,1.0,cubic meter,0.0
"market for transport, freight, lorry with refrigeration machine, 3.5-7.5 ton, EURO6, carbon dioxide, liquid refri(...)_5","transport, freight, lorry with refrigeration machine, 3.5-7.5 ton, EURO6, carbon dioxide, liquid refrigerant, cooling",Freight transport by road,4923, Road transport services of freight by refrigerator vehicles,65111,OreMinFuel,"Ores, minerals & fuels",6539fa247e3097d2d9df5498a451a878,market activity,GLO,1.0,ton kilometer,0.0
"market for soybean, organic","soybean, organic","Growing of cereals (except rice), leguminous crops and oil seeds",0111," Soya beans, other",1412,AgriForeAnim,Agricultural and forestry products,09a5cc23e6bde009bff317191794220c,market activity,GLO,1.0,kilogram,0.0
refrigerator production,refrigerator,Manufacture of domestic appliances,2750, Domestic electric appliances; non-electric refrigerators and clothes drying machines,44810,MachElecTrans,Metal/electronic equipments and parts,3ad15e78dc025a6e477b8cae0b0104b4,ordinary transforming activity,GLO,1.0,unit,0.0
triclopyr production,triclopyr,Manufacture of basic chemicals,2011," Herbicides, anti-sprouting products and plant-growth regulators",34663,Chemical,Chemical products,456c7584e1341e5e7702b6a8dceb0740,ordinary transforming activity,GLO,1.0,kilogram,0.0
"sanforizing, textile","sanforizing, textile",Finishing of textiles,1313, Textile finishing services,88213,MetalAlloy,"Basic metals & alloys, their semi-finished products",0ec3dc35587d7ba9892ab05e7804ec8c,ordinary transforming activity,GLO,1.0,kilogram,0.0
"market for transmission network, electricity, high voltage direct current land cable","transmission network, electricity, high voltage direct current land cable",Construction of utility projects,4220, Long-distance communication and power lines (cables),53242,,,1bba8d116bccb64b22425cded2d5f5fd,market activity,GLO,1.0,kilometer,0.0
"market for window frame, wood-metal, U=1.6 W/m2K","window frame, wood-metal, U=1.6 W/m2K",Manufacture of structural metal products,2511," Doors, windows and their frames and thresholds for doors, of iron, steel or aluminium",42120,ProcBio,"Food & beverages, animal feed",2a3f0aa8b11c96bb9d32957a1b596ff9,market activity,GLO,1.0,square meter,0.0
market for lignite briquettes factory,lignite briquettes factory,Construction of other civil engineering projects,4290, Other constructions for manufacturing,53269,,,f527a463220f211e5ab32e47f904dbed,market activity,GLO,1.0,unit,0.0
"market for carbon fibre reinforced plastic, injection moulded","carbon fibre reinforced plastic, injection moulded",Manufacture of plastics products,2220, Parts of aircraft and spacecraft,49640,MachElecTrans,Transport vehicles,50e8d0cae257a1dac8f3a2d053b68819,market activity,GLO,1.0,kilogram,0.0
market for used tyre,used tyre,Treatment and disposal of non-hazardous waste,3821, Used pneumatic tyres of rubber,39260,WasteTreatment,Waste treatment & disposal,8eab0ac754a856e6c101f0adb3635873,market activity,GLO,-1.0,kilogram,0.0
"market for tillage, harrowing, by offset leveling disc harrow","tillage, harrowing, by offset leveling disc harrow",Support activities for crop production,0161, Other support services to crop production,86119,,,05e9abc78b267aafd5e12ff666145fe9,market activity,GLO,1.0,hectare,0.0
lead concentrate stockpiling,lead concentrate stockpiling,Manufacture of basic precious and other non-ferrous metals,2420," Lead, unwrought",41441,MetalAlloy,"Basic metals & alloys, their semi-finished products",d035c3690010d302f858322f8e2d23cf,ordinary transforming activity,RoW,1.0,kilogram,0.0
"tap water production, seawater reverse osmosis, conventional pretreatment, enhance module, two stages",tap water,"Water collection, treatment and supply",3600, Natural water,18000,Chemical,Chemical products,dde824ec471ad85815b1a525e08ed5e8,ordinary transforming activity,GLO,1.0,kilogram,0.0
market for spent catalytic converter NOx reduction,spent catalytic converter NOx reduction,"Manufacture of cement, lime and plaster",2394, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,568623384c80c42a731f5d8d4a2ce32d,market activity,GLO,-1.0,kilogram,0.0
"market for pinto bean seed, for sowing","pinto bean seed, for sowing",Seed processing for propagation,0164," Broad beans and horse beans, green",1243,AgriForeAnim,Agricultural and forestry products,b43d5fdd1b7b7f928c93805a8c127cb2,market activity,GLO,1.0,kilogram,0.0
market for anode refinery,anode refinery,Construction of buildings,4100, Other constructions for manufacturing,53269,,,fa78cc9be4fe5cfb76712215f3d83266,market activity,GLO,1.0,unit,0.0
market for tram track,tram track,Construction of roads and railways,4210, Railways,53212,,,39c548713d888e5195d92c6e95aabcf1,market activity,GLO,1.0,meter-year,0.0
"market for soil, contaminated","soil, contaminated","Manufacture of cement, lime and plaster",2394, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,805209d568dce34d707a8d6f024d53a1,market activity,GLO,-1.0,kilogram,0.0
"lithium carbonate production, from concentrated brine",lithium carbonate,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,Chemical,Chemical products,476454ecca7978d7a6d9205ad44b0e29,ordinary transforming activity,GLO,1.0,kilogram,0.0
market for cement plaster,cement plaster,"Manufacture of articles of concrete, cement and plaster",2395, Plasters,37410,GlasNonMetal,Glass and other non-metallic products,214d8c6a2c63a9f828db3b13527b13a8,market activity,RoW,1.0,cubic meter,0.0
market for methylcyclohexane,methylcyclohexane,Manufacture of basic chemicals,2011," Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",34110,Chemical,Chemical products,3fc39e79bb0d73621f73503d3a7ba10a,market activity,GLO,1.0,kilogram,0.0
"transport, freight, small lorry with refrigeration machine, EURO5, R134a refrigerant, freezing to generic market","transport, freight, lorry with refrigeration machine, freezing",Freight transport by road,4923, Road transport services of freight by refrigerator vehicles,65111,OreMinFuel,"Ores, minerals & fuels",3001750c00ff7b6aa57b822ae99462c3,ordinary transforming activity,GLO,1.0,ton kilometer,0.0
"market for petrol, 5% ethanol by volume from biomass","petrol, 5% ethanol by volume from biomass",Manufacture of refined petroleum products,1920," Petroleum oils and oils obtained from bituminous materials, other than crude; preparations n.e.c. containing by […]",33300,OreMinFuel,"Ores, minerals & fuels",25dbe06e497953eb7365f9ffbca18d15,market activity,GLO,1.0,kilogram,0.0
"market for titanium zinc plate, without pre-weathering","titanium zinc plate, without pre-weathering",Manufacture of basic precious and other non-ferrous metals,2420, Basic metals,41000,MetalAlloy,"Basic metals & alloys, their semi-finished products",904025dc92331ef02ad73214a4f83f38,market activity,GLO,1.0,kilogram,0.0
"maintenance, refrigeration machine","maintenance, refrigeration machine","Repair of transport equipment, except motor vehicles",3315, Maintenance and repair services of other transport equipment,87149,,,062941e6bd224f175cd073c281a93f85,ordinary transforming activity,GLO,1.0,unit,0.0
"market for impact extrusion of steel, cold, 2 strokes","impact extrusion of steel, cold, 2 strokes","Forging, pressing, stamping and roll-forming of metal; powder metallurgy",2591," Metal forging, pressing, stamping, roll forming and powder metallurgy services",89330,MetalAlloy,"Basic metals & alloys, their semi-finished products",e19f3eddeef83ccf3311d7b007f7ccc2,market activity,GLO,1.0,kilogram,0.0
