name,reference product,ISIC_name,ISIC,CPC_name,CPC,prod_category,prod_sub_category,code_EI,activity type,location,production amount,unit,priority
"treatment of drilling waste, landfarming",drilling waste,Treatment and disposal of non-hazardous waste,3821, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,febb613eaba1448adcd0bdc47383aa04,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste cement, hydrated, residual material landfill","waste cement, hydrated",Treatment and disposal of hazardous waste,3822, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,63726f1abb9122a53d2c75ef5f865798,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste polyvinylchloride, municipal incineration",waste polyvinylchloride,Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,08ce4c2c272fffbbf355888dfbbb90c1,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of limestone residue, inert material landfill",limestone residue,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,33d39e0ed8748f56998fa44f84f179a6,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of copper in car shredder residue, municipal incineration",copper in car shredder residue,Treatment and disposal of non-hazardous waste,3821, Waste and scrap of copper,39361,WasteTreatment,Waste treatment & disposal,521e2f4d7ca0c5509116e57c9576a0c2,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of residue from shredder fraction from manual dismantling, municipal waste incineration",residue from shredder fraction from manual dismantling,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,59d2d0d3998d831beaccee60fb5c78d2,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of coating from waste cathode ray tube display, municipal incineration with fly ash extraction",coating from waste cathode ray tube display,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,b8862f3d6233856920dab02a6cb1ddcd,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of lignite ash, opencast refill",lignite ash,Treatment and disposal of hazardous waste,3822, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,a57501554c8f366da72079a070a6a399,ordinary transforming activity,HU,-1.0,kilogram,1.0
"treatment of municipal solid waste, incineration",municipal solid waste,Treatment and disposal of non-hazardous waste,3821, Municipal waste,39910,WasteTreatment,Waste treatment & disposal,b9a0bf78a03d9ba9a015335c6a78ab59,ordinary transforming activity,NL,-1.0,kilogram,1.0
"treatment of waste polyvinylchloride, sanitary landfill",waste polyvinylchloride,Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,3da8985ad045672ab546b3fc5c1507d4,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste bitumen sheet, municipal incineration with fly ash extraction",waste bitumen sheet,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,5ca04e19361de446fffa411548977d78,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste polyethylene terephthalate, for recycling, unsorted, sorting","waste polyethylene terephthalate, for recycling, unsorted",Collection of non-hazardous waste,3811," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,6414f657add63b8534e3037dbc8a21f0,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste gypsum, sanitary landfill",waste gypsum,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,42c148813a0c70d0330e86b8ae8b05bc,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste emulsion paint, sanitary landfill",waste emulsion paint,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,c6fe44c021477067884b9fdc918781f6,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of used blower and heat exchange unit, Avent E 97",used blower and heat exchange unit Avent E 97,Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,a2ac2b7112891287e55175118aac28dd,ordinary transforming activity,CH,-1.0,unit,1.0
"treatment of waste polyvinylchloride, municipal incineration with fly ash extraction",waste polyvinylchloride,Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,fb1c96049a4dd6938d129caa207312c6,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of hard coal ash, residual material landfill",hard coal ash,Treatment and disposal of hazardous waste,3822, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,31a1b5cc0a4b2e06b21abac2a39ea5cd,ordinary transforming activity,BE,-1.0,kilogram,1.0
"treatment of bottom ash, MSWI[F]-WWT[R], WW from anaerobic digestion of whey, slag compartment","bottom ash, MSWI[F]-WWT[R], WW from anaerobic digestion of whey",Treatment and disposal of non-hazardous waste,3821," Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…]",39320,WasteTreatment,Waste treatment & disposal,7da7c950e03914b4d979018d32a72cb1,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of bottom ash, MSWI[F]-WWT, WW from grass refinery, slag compartment","bottom ash, MSWI[F]-WWT, WW from grass refinery",Treatment and disposal of non-hazardous waste,3821," Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…]",39320,WasteTreatment,Waste treatment & disposal,34b2f542beade886b6241d32ed876aaa,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste plastic plaster, inert material landfill","waste plastic plaster, for final disposal",Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,6a8da67499c41c4d54e008c731c4856f,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of residue from mechanical treatment, laser printer, municipal incineration with fly ash extraction","residue from mechanical treatment, laser printer",Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,de4f5012b3f53986531af2420cd8eee8,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste polyvinylchloride product, collection for final disposal",waste polyvinylchloride product,Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,3e49d9ba60eb0c7a8387cd63b90d32f2,ordinary transforming activity,Europe without Switzerland,-1.0,kilogram,1.0
"treatment of decommissioned pipeline, natural gas, inert material landfill","decommissioned pipeline, natural gas",Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,6ac5c3ef7dd6640dfdcd3043672c8469,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste mineral wool, sorting plant",waste mineral wool,Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,f208870d1684659a7744d18bff90529e,ordinary transforming activity,Europe without Switzerland,-1.0,kilogram,1.0
"treatment of used air filter, in exhaust air valve",used air filter in exhaust air valve,Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,393dfca76f0cddb222453595ce0fa1e0,ordinary transforming activity,CH,-1.0,unit,1.0
"treatment of used blower and heat exchange unit, central, 600-1200 m3/h","used blower and heat exchange unit central, 600-1200 m3/h",Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,62945a1b6dccafe427b93331922dc7df,ordinary transforming activity,CH,-1.0,unit,1.0
"treatment of waste reinforced plasterboard, collection for final disposal",waste reinforced plasterboard,Treatment and disposal of non-hazardous waste,3821, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,8d8f185eeaf4248d56abe5ab99df852c,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste building wood, chrome preserved, municipal incineration","waste building wood, chrome preserved",Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,ab32e79050413c002d39d07a891436a1,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste mineral wool, inert material landfill","waste mineral wool, for final disposal",Treatment and disposal of non-hazardous waste,3821, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,968687118bf6ec3a3548635ec1a96f03,ordinary transforming activity,Europe without Switzerland,-1.0,kilogram,1.0
"treatment of hazardous waste, underground deposit","hazardous waste, for underground deposit",Treatment and disposal of hazardous waste,3822, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,5d0302c571335fd1af47e6146e68bad3,ordinary transforming activity,DE,-1.0,kilogram,1.0
"treatment of drilling waste, residual material landfill",drilling waste,Treatment and disposal of hazardous waste,3822, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,e0fd21f7d6cc1a90f200efd85bbbf5c4,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of sludge from steel rolling, residual material landfill",sludge from steel rolling,Treatment and disposal of hazardous waste,3822, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,1a7bf42bbb78ed16fb1e57f60e4ae5e9,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of dross from Al electrolysis, residual material landfill",dross from Al electrolysis,Treatment and disposal of hazardous waste,3822, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,b91b4325ec79a8780190f4c571f8028b,ordinary transforming activity,CH,-1.0,kilogram,1.0
"basic oxygen furnace sludge to market for basic oxygen furnace sludge, for recovery",basic oxygen furnace sludge,Treatment and disposal of non-hazardous waste,3821," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,9a54bf3a32b76676b2d9c7bed29cfcfb,ordinary transforming activity,RER,-1.0,kilogram,1.0
"treatment of zinc in car shredder residue, municipal incineration",zinc in car shredder residue,Treatment and disposal of non-hazardous waste,3821, Waste and scrap of zinc,39365,WasteTreatment,Waste treatment & disposal,b1930631f8af19f91c3ca3d81eafc69a,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of electric arc furnace dust, residual material landfill",electric arc furnace dust,Treatment and disposal of non-hazardous waste,3821," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,3a080e1cd9ffbc39d4d587f10ebd4bd1,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste reinforced concrete, recycling",waste reinforced concrete,Materials recovery,3830, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,ed1be979f61cda7c0845ff0810e24f8b,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste polyethylene terephthalate, municipal incineration with fly ash extraction",waste polyethylene terephthalate,Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,061f3c3bdf58c79b4d92766ce4395563,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste cement-fibre slab, dismantled, municipal incineration with fly ash extraction","waste cement-fibre slab, dismantled",Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,798bc271446ba37d8210acac4140cde5,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of scrap lead acid battery, remelting",scrap lead acid battery,Manufacture of basic precious and other non-ferrous metals,2420, Waste and scrap of lead,39364,WasteTreatment,Waste treatment & disposal,80dad067b467a6c5e28096ce1decec27,ordinary transforming activity,RER,-1.0,kilogram,1.0
"treatment of waste mineral plaster, sorting plant",waste mineral plaster,Materials recovery,3830, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,829fed31722bad938aada9cb7e0eca57,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of metal part of electronics scrap, in copper, anode, by electrolytic refining","metal part of electronics scrap, in copper, anode",Manufacture of basic precious and other non-ferrous metals,2420, Metal wastes or scraps,39300,WasteTreatment,Waste treatment & disposal,e9f3920f5f0ea1e20e1cb87d0765ce79,ordinary transforming activity,SE,-1.0,kilogram,1.0
"treatment of lead in car shredder residue, municipal incineration with fly ash extraction",lead in car shredder residue,Treatment and disposal of non-hazardous waste,3821, Waste and scrap of lead,39364,WasteTreatment,Waste treatment & disposal,2d19e09397a9f677fddf76fc31948790,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of scrap aluminium, municipal incineration with fly ash extraction",scrap aluminium,Treatment and disposal of non-hazardous waste,3821, Waste and scrap of aluminium,39363,WasteTreatment,Waste treatment & disposal,148a71d6f96a55e5d2256be2e37a359b,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste concrete, not reinforced, sorting plant","waste concrete, not reinforced",Materials recovery,3830, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,df9dde7941a45a1ff897202aca7e2b9a,ordinary transforming activity,Europe without Switzerland,-1.0,kilogram,1.0
"treatment of residues, MSWI[F]-WWT, WW, average, residual material landfill","residues, MSWI[F]-WWT, WW, average",Treatment and disposal of hazardous waste,3822," Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…]",39320,WasteTreatment,Waste treatment & disposal,d2501489d35f709b2dd1e75013189957,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste electric wiring, collection for final disposal",waste electric wiring,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,5a899f50d915154fcb5939913846ae20,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of used exhaust air valve, in-wall housing, plastic/steel, DN 125","used exhaust air valve in-wall housing, plastic/steel",Materials recovery,3830," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,633aac79efde0c1b76e5066aa892570f,ordinary transforming activity,CH,-1.0,unit,1.0
"treatment of spent oxychlor catalyst, hazardous waste incineration, with energy recovery",spent oxychlor catalyst,Treatment and disposal of hazardous waste,3822, Wastes from chemical or allied industries,39950,WasteTreatment,Waste treatment & disposal,1a7a5322f8fd02e00de626fe049e6d70,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste mineral wool, recycling",waste mineral wool,Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,2f7764d854050b879adc06069a666658,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste gypsum, inert material landfill",waste gypsum,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,bc27bea031d4496254790e6168ce439e,ordinary transforming activity,Europe without Switzerland,-1.0,kilogram,1.0
"treatment of spent oxychlor catalyst, hazardous waste incineration",spent oxychlor catalyst,Treatment and disposal of hazardous waste,3822, Wastes from chemical or allied industries,39950,WasteTreatment,Waste treatment & disposal,cfa8eec05ef16cefb9afd1fd783374bb,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste gypsum plasterboard, collection for final disposal",waste gypsum plasterboard,Treatment and disposal of non-hazardous waste,3821, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,c031c8691f9adc6317d96769bbb0bd5e,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of used train, passenger, high-speed","used train, passenger, high-speed",Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,065593b7115c5435bee4ae6bd6c38af3,ordinary transforming activity,DE,-1.0,unit,1.0
"treatment of residues, MSWI[F]-WWT, condensate from light oil boiler, residual material landfill","residues, MSWI[F]-WWT, condensate from light oil boiler",Treatment and disposal of hazardous waste,3822," Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…]",39320,WasteTreatment,Waste treatment & disposal,b83b140fb3812891224a26a5eca3e2b5,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of electric arc furnace slag, residual material landfill",electric arc furnace slag,Treatment and disposal of non-hazardous waste,3821," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,5e75f3d3c767bf13f79e548c7c6b3545,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of residue from mechanical treatment, liquid crystal display, municipal incineration with fly ash extraction","residue from mechanical treatment, liquid crystal display",Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,e5c035d1afe2d726d029c0f9b5077758,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste paint on metal, collection for final disposal",waste paint on metal,Treatment and disposal of non-hazardous waste,3821, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,8b0abdae60e259d2dea83efb45d64008,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste reinforced plasterboard, recycling",waste reinforced plasterboard,Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,41f26d06de89e3b7fd8b730ff622b822,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste paint on wall, sorting plant",waste paint on wall,Materials recovery,3830, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,56c75d1189ad9a8a3b9c3a75548e587a,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of basic oxygen furnace waste, residual material landfill",basic oxygen furnace waste,Treatment and disposal of hazardous waste,3822, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,a6f543a6bf36ac76bb424af4901d0b83,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste cement in concrete and mortar, collection for final disposal",waste cement in concrete and mortar,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,69a9b331dea22e1bc13c22902ae18a7a,ordinary transforming activity,Europe without Switzerland,-1.0,kilogram,1.0
"treatment of spent solvent mixture, hazardous waste incineration, with energy recovery",spent solvent mixture,Treatment and disposal of hazardous waste,3822, Wastes from chemical or allied industries,39950,WasteTreatment,Waste treatment & disposal,0d4bba4f967189c43e137b1ca05f08dd,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste expanded polystyrene, municipal incineration",waste expanded polystyrene,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,894389179bda0601bf70a1b0151573e2,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste paint, hazardous waste incineration, with energy recovery",waste paint,Treatment and disposal of hazardous waste,3822, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,6f9a0cb97942e48d2d3af09eea30cfe0,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste plastic, mixture, sanitary landfill","waste plastic, mixture",Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,aafdbf3678833d72972b0e03c35f3113,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste cement-fibre slab, municipal incineration","waste cement-fibre slab, dismantled",Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,9d24f666269c99a240f5c7712355b096,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of bottom ash, MSWI[F]-WWT, WW from black chrome coating, slag compartment","bottom ash, MSWI[F]-WWT, WW from black chrome coating",Treatment and disposal of non-hazardous waste,3821," Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…]",39320,WasteTreatment,Waste treatment & disposal,2ae608c1180bf6ff7eac9ee099f1c272,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste polyurethane, municipal incineration with fly ash extraction",waste polyurethane,Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,bf5ff19583cd0a43e94159ce80c46d67,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste polyethylene, municipal incineration",waste polyethylene,Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,4c46fe120ed49c81affd10f2054d1a52,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of used ventilation control and wiring, central unit",used ventilation control and wiring central unit,Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,9e202f83bb27f63310d5018a701a677b,ordinary transforming activity,CH,-1.0,unit,1.0
"treatment of residues, MSWI[F]-WWT, WW from grass refinery, residual material landfill","residues, MSWI[F]-WWT, WW from grass refinery",Treatment and disposal of hazardous waste,3822," Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…]",39320,WasteTreatment,Waste treatment & disposal,412be51b9e8d4023d7e0748141942c1c,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of used lorry, 28 metric ton","used lorry, 28 metric ton",Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,d8d4b68982d0989cb064644e37e336db,ordinary transforming activity,CH,-1.0,unit,1.0
"treatment of bilge oil, hazardous waste incineration",bilge oil,Treatment and disposal of hazardous waste,3822, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,7e01e74c7a3bd361416ae9340b762b84,ordinary transforming activity,CH,-1.0,kilogram,1.0
