name,reference product,ISIC_name,ISIC,CPC_name,CPC,prod_category,prod_sub_category,code_EI,activity type,location,production amount,unit,priority
basic oxygen furnace secondary metallurgy slag to market for basic oxygen furnace secondary metallurgy slag for recovery,basic oxygen furnace secondary metallurgy slag,Treatment and disposal of non-hazardous waste,3821," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,e6b6200cf650cfe9382160e4ffb24dc3,ordinary transforming activity,RER,-1.0,kilogram,1.0
"treatment of waste concrete gravel, collection for final disposal",waste concrete gravel,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,68393257172821af6cd2eba743c6622e,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste mineral plaster, collection for final disposal",waste mineral plaster,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,8a91f67cdbb92c61220ed0f3d2d3d222,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste cement in concrete and mortar, sorting plant",waste cement in concrete and mortar,Materials recovery,3830, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,7c7037234bd26f5146a205259e85682b,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste reinforced concrete, collection for final disposal",waste reinforced concrete,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,c1b5e9a5045f5fa0bda3c3826f2267b6,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste building wood, chrome preserved, municipal incineration with fly ash extraction","waste building wood, chrome preserved",Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,aac519263ed4faa7d12378b50aff9459,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of nickel smelter slag, residual material landfill",nickel smelter slag,Treatment and disposal of hazardous waste,3822, Waste and scrap of nickel,39362,WasteTreatment,Waste treatment & disposal,65109af35cadd25e059fad2bba0541ff,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of used lorry, 40 metric ton","used lorry, 40 metric ton",Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,6b362671f4b46dd552d36cbd69dab162,ordinary transforming activity,CH,-1.0,unit,1.0
"treatment of waste polystyrene isolation, flame-retardant, collection for final disposal","waste polystyrene isolation, flame-retardant",Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,fb3d84784000297fa19f954260fd14a6,ordinary transforming activity,Europe without Switzerland,-1.0,kilogram,1.0
"treatment of used outside air intake, stainless steel, DN 370","used outside air intake stainless steel, DN 370",Materials recovery,3830," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,f3e363006832747289922717ab1b7d5c,ordinary transforming activity,CH,-1.0,unit,1.0
"treatment of waste gypsum plasterboard, sorting plant",waste gypsum plasterboard,Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,35c5ba28134530d7c8d0027c72645977,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of used train, passenger, long distance","used train, passenger, long-distance",Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,9b94b3817a1148c84fca8150fa74d3a1,ordinary transforming activity,CH,-1.0,unit,1.0
treatment of used tram,used tram,Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,c8db37af9d0999543c9f47ad2c040e4d,ordinary transforming activity,CH,-1.0,unit,1.0
"treatment of aluminium scrap, post-consumer, prepared for recycling, at remelter","aluminium scrap, post-consumer, prepared for melting",Manufacture of basic precious and other non-ferrous metals,2420, Waste and scrap of aluminium,39363,WasteTreatment,Waste treatment & disposal,f8831d0288322bdad3131790d7eb0115,ordinary transforming activity,RER,-1.0,kilogram,1.0
"treatment of waste concrete gravel, sorting plant",waste concrete gravel,Materials recovery,3830, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,3dcdb1de0adf58070bf14dcf3d0d898c,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste emulsion paint on wood, collection for final disposal","waste emulsion paint, on wood",Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,442c190235144ea3bc7fcee491b45ed7,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of green liquor dregs, residual material landfill",green liquor dregs,Treatment and disposal of hazardous waste,3822, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,86503009d96849034e4e0e7b7386d48c,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste sealing sheet, polyethylene, municipal incineration","waste sealing sheet, polyethylene",Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,2c71b3f322e351cf5b309f54ec177213,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste emulsion paint, municipal incineration",waste emulsion paint,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,290329084e58ee325180ecb1b838358f,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of electronics scrap, metals recovery in copper smelter",electronics scrap,Manufacture of basic precious and other non-ferrous metals,2420, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,3f9eef3c50ab5c8b335a71fb44c78824,ordinary transforming activity,SE,-1.0,kilogram,1.0
"treatment of residues, MSWI[F]-WWT, WW from black chrome coating, residual material landfill","residues, MSWI[F]-WWT, WW from black chrome coating",Treatment and disposal of hazardous waste,3822," Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…]",39320,WasteTreatment,Waste treatment & disposal,a8eab4af04065dad848dc776c9a1c01f,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste plaster-cardboard sandwich, sorting plant",waste plaster-cardboard sandwich,Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,5ca2f0f259c5db2e90a8b10219357e31,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of scrap steel, municipal incineration",scrap steel,Treatment and disposal of non-hazardous waste,3821," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,d454abf28c4f713f5cba64f7f28402b5,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste wire plastic, municipal incineration",waste wire plastic,Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,c745d2f6b458acf5f5884d64366dd8f6,ordinary transforming activity,CH,-1.0,kilogram,1.0
